ID,Dataset Name,Category,Provider,Description,Granularity,Format,Access Method,Update Frequency,URL,Relevance to Wait Time App,Key Fields,Joinable Via
1,Appointments in General Practice,Wait Times,NHS England Digital,"Monthly GP appointment statistics: status, mode, HCP type, time from booking to appointment, consultation duration, appointment category",Practice-level,CSV,Open download — no auth,Monthly,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice,CRITICAL — primary source of appointment volume and wait time metrics,"Appointment date, days waited, practice code, appointment status, mode (face-to-face/telephone/online), HCP type",Practice ODS code
2,GP Patient Survey (GPPS),Patient Experience,NHS England / Ipsos,"Annual survey of ~800k patients covering ease of getting appointments, satisfaction, access, overall experience",Practice-level,Excel / CSV / PowerPoint,Open download from gp-patient.co.uk,Annual (July),https://www.england.nhs.uk/statistics/statistical-work-areas/gp-patient-survey/,CRITICAL — subjective wait experience and access difficulty ratings,"Ease of getting appointment (%), satisfaction (%), experience making appointment, opening hours satisfaction",Practice code
3,Patients Registered at a GP Practice,Demand/Capacity,NHS England Digital,"Monthly snapshot of registered patient list sizes by practice, age/sex breakdown",Practice-level,CSV,Open download — no auth,Monthly,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice,HIGH — measures demand (patients per practice); denominator for capacity ratios,"Practice code, total patients, age/sex breakdown, PCN, ICB",Practice ODS code
4,General Practice Workforce,Capacity/Supply,NHS England Digital,"Monthly FTE and headcount for GPs, nurses, DPC, admin staff per practice",Practice-level,CSV,Open download,Monthly,https://digital.nhs.uk/data-and-information/publications/statistical/general-and-personal-medical-services,HIGH — supply side: patients-per-GP ratio is key wait time predictor,"Practice code, GP FTE, nurse FTE, DPC FTE, admin FTE, headcount",Practice ODS code
5,ODS GP Practice Data (formerly epraccur),Location/Reference,NHS England ODS,"GP practice addresses, postcodes, phone numbers, open/close status, parent organisations",Practice-level,CSV,Open download via ODS Data Search & Export,Daily (2am refresh),https://digital.nhs.uk/services/organisation-data-service/data-search-and-export/csv-downloads/gp-and-gp-practice-related-data,HIGH — core location reference for mapping and distance calculations,"Practice code, name, address, postcode, phone, status, ICB code, open date, close date",Practice ODS code
6,Directory of Healthcare Services (Service Search) API v3,Location/Services,NHS England Digital,"Search for GPs, pharmacies, urgent care, dentists, hospitals by location; services offered, opening hours",Service-level,JSON (REST API),API key (register at developer.api.nhs.uk),Real-time,https://digital.nhs.uk/developer/api-catalogue/directory-of-healthcare-services,HIGH — find alternative care options near user; opening hours; services offered,"Service name, type, address, postcode, lat/long, opening hours, services, contact details",ODS code / postcode
7,CQC GP Practice Ratings,Quality,Care Quality Commission,"Inspection ratings (Outstanding/Good/Requires Improvement/Inadequate) across 5 key questions for every GP practice",Practice-level,CSV / JSON API,Open download + API (register at api.service.cqc.org.uk),Monthly,https://www.cqc.org.uk/about-us/transparency/using-cqc-data,MEDIUM — quality signal helps users make informed choice when redirecting,"Practice name, CQC location ID, overall rating, safe, effective, caring, responsive, well-led ratings, inspection date",CQC location ID (linkable to ODS code)
8,OHID Fingertips National GP Profiles,Population Health,OHID (Office for Health Improvement & Disparities),"150+ practice-level indicators: deprivation, life expectancy, QOF, disease prevalence, cancer screening, patient satisfaction",Practice-level,JSON / CSV (API),Open API + download,Varies by indicator,https://fingertips.phe.org.uk/profile/general-practice,MEDIUM — population health context; disease burden predicts appointment demand,"Practice code, indicator ID, value, count, denominator, confidence intervals",Practice ODS code
9,English Indices of Deprivation (IMD) 2025,Socioeconomic,MHCLG,"Deprivation scores and ranks for 32,844 LSOAs in England across 7 domains (income, employment, health, education, crime, housing, environment)",LSOA-level,CSV / Excel,Open download,~Every 5 years (latest 2025),https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,MEDIUM — deprivation strongly correlates with GP access difficulty and health need,"LSOA code, IMD score, IMD rank, IMD decile, domain scores",LSOA code (via postcode lookup)
10,ONS Postcode Directory (ONSPD),Geographic Linkage,ONS,"Lookup table: every UK postcode to LSOA, MSOA, local authority, ward, constituency, lat/long, rural/urban classification",Postcode-level,CSV,Open download from ONS Geography Portal,Quarterly,https://geoportal.statistics.gov.uk/,HIGH — essential linkage: converts practice postcodes to LSOA for joining with IMD and census data,"Postcode, LSOA, MSOA, LAD, lat, long, rural/urban",Postcode
11,English Prescribing Data (EPD),Prescribing,NHSBSA,"Every prescription item dispensed in community in England, by practice, monthly",Practice-level,CSV,Open download from NHSBSA Open Data Portal,Monthly (~20th of month),https://opendata.nhsbsa.net/dataset/english-prescribing-data-epd,LOW-MEDIUM — prescribing volume as proxy for practice workload; antibiotic prescribing patterns,"Practice code, BNF code, items, quantity, actual cost",Practice ODS code
12,OpenPrescribing.net,Prescribing Analytics,EBM DataLab (University of Oxford),"Curated prescribing analysis: dashboards, alerts, practice comparisons, measure definitions",Practice-level,JSON API + CSV,Open API and download,Monthly,https://openprescribing.net/,LOW-MEDIUM — ready-made prescribing analytics; saves processing EPD raw data,"Practice code, measure ID, value, percentile, numerator, denominator",Practice ODS code
13,NHS Booking FHIR API,Appointments,NHS England Digital,"Search for free slots and book appointments across NHS services (initially 111 to UTC, expanding)",Service-level,JSON (FHIR),Restricted — NHS onboarding required,Real-time,https://digital.nhs.uk/developer/api-catalogue/nhs-booking-fhir,CRITICAL (if accessible) — real-time slot availability; but restricted access,"Slot start/end, service, practitioner, booking status",ODS code
14,GP Connect Appointment Management,Appointments,NHS England Digital,"Book, read, amend, cancel appointments at GP practices via FHIR API",Practice-level,JSON (FHIR),Restricted — requires NHS onboarding + practice consent,Real-time,https://digital.nhs.uk/developer/api-catalogue/gp-connect-appointment-management-fhir,CRITICAL (if accessible) — real-time practice appointment data; highly restricted,"Slot, schedule, appointment status, practitioner, location",Practice ODS code
15,GP Appointment Data (GPAD) Dashboard,Wait Times,NHS England,"Practice-level appointment data dashboard with detailed breakdowns of scheduled activity",Practice-level,Dashboard (not downloadable),Restricted — NHS Smartcard only,Monthly,https://www.england.nhs.uk/gp/gpad/,HIGH (reference only) — richer than public data but not programmatically accessible,Appointment metrics by practice,Practice ODS code
16,NHS Service Finder,Location/Services,NHS England Digital,"Search 160+ service types from UEC Directory of Services + NHS website data; pharmacies, UTC, mental health, social care",Service-level,Web widget / internal API,Widget embed (free); full API is internal,Real-time,https://digital.nhs.uk/services/nhs-service-finder,MEDIUM — alternative care routing when GP wait is long,"Service name, type, address, distance, opening hours",Postcode search
17,Register with a GP Surgery API,Registration,NHS England Digital,Allows patients to register with a GP practice online,Practice-level,REST API,Restricted — NHS onboarding,Real-time,https://digital.nhs.uk/developer/api-catalogue/register-with-a-gp-surgery,MEDIUM — enables in-app GP registration for practices with shorter waits,Registration form fields,Practice ODS code
18,GP Practice Data Hub,Aggregated Dashboard,NHS England Digital,"Central hub linking workforce, appointments, patient experience, prescribing data at practice level",Practice-level,Interactive dashboard,Open (web),Varies,https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/general-practice-data-hub,HIGH — single entry point to multiple practice-level datasets,"Links to workforce, appointments, patient experience datasets",Practice ODS code
19,NHS England Data Catalogue,Various,NHS England,"Central catalogue of NHS England open datasets across all domains",Various,Various,Open,Various,https://data.england.nhs.uk/,MEDIUM — discovery tool for additional datasets,Various,Various
20,NHS Hack Day Datasets & APIs List,Reference,NHS Hack Day community,Curated community list of NHS open data sources and APIs for health tech developers,N/A,Web page,Open,Community-maintained,https://nhshackday.com/resources/datasets-and-apis,REFERENCE — excellent starting point for discovering data sources,Links to datasets and APIs,N/A
21,Urgent and Emergency Care CQI API,111/Urgent Care,NHS England Digital,"Submit and query 111/999 triage data for quality monitoring; call outcome data",Regional,JSON,Restricted — NHS onboarding,Real-time,https://digital.nhs.uk/developer/api-catalogue/urgent-and-emergency-care-continuous-quality-improvement-api,LOW — useful for understanding 111 overflow to GP but restricted access,"Triage pathway, disposition, call duration",N/A
22,data.gov.uk NHS Datasets,Various,UK Government,"Central UK open data portal containing ~25k datasets; search for NHS/health datasets",Various,Various,Open,Various,https://www.data.gov.uk/search?q=NHS+GP,REFERENCE — supplementary discovery,Various,Various
23,IMD by Postcode Lookup Tool,Socioeconomic,MHCLG / Open Data Communities,"Quick lookup: enter postcode, get LSOA and full deprivation data",Postcode/LSOA,Web tool / CSV,Open,Static (linked to IMD release year),https://imd-by-postcode.opendatacommunities.org/,UTILITY — rapid prototyping tool for deprivation lookups,"Postcode, LSOA, IMD rank, decile, score",Postcode / LSOA
24,NHSRpopulation R Package,Geographic Linkage,NHS-R Community,"R package wrapping ONS API: get postcode-to-LSOA-to-IMD lookups programmatically",Postcode/LSOA,R package (API wrapper),Open,Follows ONS updates,https://github.com/nhs-r-community/NHSRpopulation,UTILITY — useful for building data pipelines in R,"Postcode, LSOA, IMD data",Postcode / LSOA
25,House of Commons Library — GPs by Constituency,Geographic/Political,UK Parliament,"GP practice counts, list sizes, workforce mapped to parliamentary constituencies",Constituency-level,Excel,Open download,Periodic,https://commonslibrary.parliament.uk/constituency-data-gps-and-gp-practices/,LOW — useful for political/policy context but not granular enough for app,"Constituency, practice count, list size, GP FTE",Constituency / practice code
26,Organisation Data Terminology FHIR R4 API,Location/Reference,NHS England Digital,"RECOMMENDED ODS API: practice codes, names, addresses (incl UPRN), postcodes, roles, open/close dates, geographic boundaries (LSOA, ICB, LA, Region, Constituency)",Practice-level,FHIR R4 JSON/XML,API key (application-restricted) — register at NHS Developer Hub,Nightly,https://digital.nhs.uk/developer/api-catalogue/organisation-data-terminology,HIGH — programmatic replacement for epraccur CSV; supports geo-search; 5000 req/5min rate limit,"ODS code, name, address, postcode, UPRN, roles, relationships, status, LSOA, ICB",ODS code
27,Quality and Outcomes Framework (QOF),Clinical Quality,NHS England Digital,"Practice-level disease prevalence, achievement rates, personalised care adjustment across cardiovascular, respiratory, mental health, musculoskeletal domains. 6188 practices (97.6% coverage)",Practice-level,CSV / Excel / Interactive DB,Open download + interactive database at qof.digital.nhs.uk,Annual,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,MEDIUM — disease prevalence predicts demand; high chronic disease burden = longer waits,"Practice code, indicator, prevalence, achievement %, exception rate",Practice ODS code
28,GP Practice Catchment Area KML Files,Geographic/Boundaries,NHS England,"Catchment area boundary polygons for GP practices across England; submitted via eDEC annual collection",Practice-level,KML,Open download from NHS England Data Catalogue,Annual (then weekly updates),https://data.england.nhs.uk/dataset/gp-practice-submitted-inner-catchment-area-kml-file,HIGH — shows which areas each practice serves; essential for 'am I in catchment?' feature,"ODS code, boundary polygon coordinates",ODS code
29,TfL PTAL Data (Public Transport Accessibility Level),Transport/Accessibility,Transport for London,"PTAL scores 0-6b for every 100m grid cell in Greater London; also aggregated at LSOA level. Based on walk time to stops, service frequency, reliability",100m grid / LSOA,Shapefile / GeoJSON / CSV,Open download from TfL GIS Open Data Hub,Periodic,https://gis-tfl.opendata.arcgis.com/datasets/0646faf45243463aa04ca685e598f471,HIGH (London only) — enables travel-time-weighted GP recommendations,"Grid ref, PTAL score, LSOA code (aggregated version), mean/max/min PTAL",LSOA code / spatial join
30,TfL Journey Planner API,Transport/Routing,Transport for London,Point-to-point journey planning across all London transport modes; calculates actual travel times,Point-to-point,JSON (REST),Free API key — register at api-portal.tfl.gov.uk,Real-time,https://api-portal.tfl.gov.uk/,HIGH (London only) — calculate actual travel time from user to each nearby GP,"Origin, destination, journey time, modes, steps",Coordinates
31,DfT Journey Time Statistics,Transport/Accessibility,Department for Transport,"LSOA-level travel times to GP surgeries, hospitals, food stores by public transport, walking, cycling, car. % population reaching GP within 15/30 mins",LSOA-level,Excel / ODS,Open download,DISCONTINUED (latest 2019),https://www.gov.uk/government/collections/journey-time-statistics,MEDIUM — pre-computed GP accessibility by LSOA; but data is 2019 and won't update,"LSOA code, travel time to GP (mins), % within 15/30 mins, by mode",LSOA code
32,Consolidated Pharmaceutical List,Alternative Care,NHSBSA,"All NHS community pharmacies and appliance contractors in England: ODS code, name, address, postcode, LPC area",Practice-level,CSV / CKAN API,Open download from NHSBSA Open Data Portal,Quarterly,https://opendata.nhsbsa.net/dataset/consolidated-pharmaceutical-list,MEDIUM — pharmacies as alternative for minor ailments; redirect users from GP,"Pharmacy ODS code, name, address, postcode, HWB area",Postcode / LSOA
33,Integrated Urgent Care Aggregate Data (IUC ADC / NHS 111),Demand Overflow,NHS England,"111 call volumes, dispositions (recommended to primary care, A&E, ambulance), call answer times, abandonment rates. Proxy for GP overflow demand",Contract area (~ICB),CSV / Excel,Open download,Monthly (provisional ~2 weeks; official ~2 months),https://www.england.nhs.uk/statistics/statistical-work-areas/iucadc-new-from-april-2021/,MEDIUM — high 'recommended to primary care' volume signals GP capacity stress,"Calls offered, answered, abandoned, dispositions by type, contract area",Contract area / ICB
34,ONS LSOA Boundary Shapefiles (2021),Geographic/Boundaries,ONS,"Boundary polygons for all 33,755 LSOAs in England and Wales; multiple generalisation levels (full, generalised, super-generalised)",LSOA-level,"Shapefile, GeoJSON, KML, WMS, WFS",Open download from ONS Open Geography Portal,Static (Census 2021),https://geoportal.statistics.gov.uk/datasets/ons::lower-layer-super-output-areas-december-2021-boundaries-ew-bsc-v4-2/about,HIGH — essential for mapping; choropleth visualisation of wait times by area,LSOA code + boundary geometry,LSOA code
35,Booking and Referral Standard (BaRS) FHIR API,Appointments,NHS England Digital,"Modern replacement for NHS Booking FHIR API; cross-setting booking (111→ED, 111→GP hubs); FHIR UK Core R4",Service-level,JSON (FHIR R4),Restricted — HSCN + NHS onboarding,Real-time,https://digital.nhs.uk/developer/api-catalogue/booking-and-referral-fhir,CRITICAL (if accessible) — newest booking standard; but same access restrictions as GP Connect,Booking/referral data,ODS code
36,Health Foundation GP Data Dashboard,Aggregated Analytics,The Health Foundation,"Curated dashboard combining NHS data across 8 domains: access, activity, continuity, coordination, patient experience, funding, workforce, quality",ICB+ level,Web dashboard,Open (web),Regular updates,https://www.health.org.uk/reports-and-analysis/analysis/general-practice-data-dashboard,MEDIUM — excellent contextual reference; pre-analysed trends,Multi-source composite metrics,N/A
37,ICB Access to General Practice Dashboard,Access Metrics,NHS England Digital,Interactive dashboard showing access metrics at ICB level; combines appointment and patient experience data,ICB-level,Power BI dashboard,Open (web),Periodic,https://digital.nhs.uk/dashboards/icb-access-to-general-practice-dashboard,MEDIUM — pre-built access visualisation at ICB level,Access composite indicators,ICB code
38,NHS Wait Times Explorer (GitHub),Open Source Tool,Community (N-Garner),"Open source tool mapping GP appointment waits by ICB using NHS England appointment data; good reference implementation",ICB-level,GitHub repository,Open source,Community-maintained,https://github.com/N-Garner/NHS-wait-times-explorer,REFERENCE — existing open source implementation to learn from,Maps ICB wait data,ICB code
39,NHS BNSSG Analytics — Waitlist Models (GitHub),Open Source Tool,NHS BNSSG Analytics,"Compartment models for waitlist demand/capacity prediction; R-based pipeline for analysing referral-to-treatment data",Regional,GitHub repository,Open source,Community-maintained,https://github.com/nhs-bnssg-analytics,REFERENCE — demand/capacity modelling methodology,Waitlist compartment models,N/A
40,fingertips_py Python Package,Utility/Library,DHSC,"Python wrapper for Fingertips API; programmatic access to all 150+ GP practice indicators",Practice-level,Python package (PyPI),Open,Follows Fingertips updates,https://github.com/dhsc-govuk/fingertips_py,UTILITY — easiest way to pull Fingertips data into Python pipelines,"Practice code, indicator data",Practice ODS code
